codigo_actual,codigo_nuevo_propuesto,tipo_propuesto,familia_codigo_propuesta,familia_nombre_propuesta,subfamilia_propuesta,familia_actual,descripcion,unidad_medida,merma,precio_unidad,proveedor_precio,formato_compra,cantidad_formato_compra,unidad_formato_compra,precio_formato_compra,fecha_precio,url_precio,observaciones_precio,estado_revision,motivo_revision
ING-0567,ING-FRU-0062,ING,FRU,Frutas,Frutas,PASTELERIA,COCO RALLADO,kg,0.00,8.6200,MAKRO,METRO Chef coco rallado bolsa 1 kg,1.0000,kg,8.6200,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X461932/0032/0021/METRO-Chef-Coco-rallado-bolsa-1-kg,Precio con IVA/IGIC incluido. €/kg.,propuesto,familia o palabras clave fruta
ING-0568,ING-HUE-0003,ING,HUE,Huevos y ovoproductos,Huevos y ovoproductos,PASTELERIA,COLORANTE Amarillo huevo PASTA 200G,ud,0.00,11.3300,,,,,,,,,propuesto,palabras clave huevo/ovoproducto
ING-0569,ING-CER-0001,ING,CER,"Cereales, harinas, pan y masas","Cereales, harinas y masas",PASTELERIA,COLORANTE BLANCO PASTA COSMO,kg,0.00,10.4200,,,,,,,,,propuesto,palabras clave cereales/harina/masa
ING-0570,ING-CER-0002,ING,CER,"Cereales, harinas, pan y masas","Cereales, harinas y masas",PASTELERIA,COLORANTE MARRON PASTA 200G,kg,0.00,12.0500,,,,,,,,,propuesto,palabras clave cereales/harina/masa
ING-0571,ING-CER-0003,ING,CER,"Cereales, harinas, pan y masas","Cereales, harinas y masas",PASTELERIA,COLORANTE NARANJA PASTA 200 G,kg,0.00,11.4200,,,,,,,,,propuesto,palabras clave cereales/harina/masa
ING-0572,ING-CER-0004,ING,CER,"Cereales, harinas, pan y masas","Cereales, harinas y masas",PASTELERIA,COLORANTE NEGRO PASTA 200 G,kg,0.00,,,,,,,,,,propuesto,palabras clave cereales/harina/masa
ING-0573,ING-CER-0005,ING,CER,"Cereales, harinas, pan y masas","Cereales, harinas y masas",PASTELERIA,COLORANTE ROJO PASTA 200G,kg,0.00,12.6700,,,,,,,,,propuesto,palabras clave cereales/harina/masa
ING-0574,ING-CER-0006,ING,CER,"Cereales, harinas, pan y masas","Cereales, harinas y masas",PASTELERIA,COLORANTE VERDE PASTA 200G,kg,0.00,12.8600,,,,,,,,,propuesto,palabras clave cereales/harina/masa
ING-0575,ING-CER-0007,ING,CER,"Cereales, harinas, pan y masas","Cereales, harinas y masas",PASTELERIA,COLORANTE VIOLETA PASTA (AZUL),kg,0.00,11.6200,,,,,,,,,propuesto,palabras clave cereales/harina/masa
ING-0576,ING-CER-0008,ING,CER,"Cereales, harinas, pan y masas","Cereales, harinas y masas",PASTELERIA,COLORANTEAMARILLO LIMÓN PASTA 200g,kg,0.00,9.7100,,,,,,,,,propuesto,palabras clave cereales/harina/masa
ING-0577,ING-FRU-0063,ING,FRU,Frutas,Frutas,PASTELERIA,CONFITURA FRAMBUESA 3K,kg,0.00,7.1500,,,,,,,,,propuesto,familia o palabras clave fruta
ING-0578,ING-FRU-0064,ING,FRU,Frutas,Frutas,PASTELERIA,DÁTIL SIN HUESO,kg,0.00,7.3000,CONSUM,CONSUM dátil sin hueso doypack 300 g,0.3000,kg,2.1900,2026-06-13,https://tienda.consum.es/es/p/datil-sin-hueso-doypack/7381226,Precio con IVA. Convertido a €/kg desde 300 g.,propuesto,familia o palabras clave fruta
ING-0579,ING-END-0008,ING,END,Endulzantes y azúcares,Endulzantes,PASTELERIA,DEXTROSA 600g,kg,0.00,2.6300,,,,,,,,,propuesto,palabras clave endulzantes
ING-0580,ING-PES-0122,ING,PES,Pescados y mariscos,Pescados y mariscos,PASTELERIA,DISCO DORADA 21cm redonda 100 U,kg,0.00,18.8800,,,,,,,,,propuesto,familia o palabras clave pescado/marisco
ING-0581,ING-PAS-0006,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,DISCO ORO BOR LISO 26 CM,kg,0.00,19.2000,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0582,ING-FV-0139,ING,FV,"Frutas, verduras y hierbas",Verduras y hierbas,PASTELERIA,DULCE BONIATO,kg,0.00,,,,,,,,,,propuesto,familia o palabras clave verduras
ING-0583,ING-PAS-0007,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,FARTONS,kg,0.00,,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0584,ING-CHO-0005,ING,CHO,Chocolate y cacao,Chocolate y cacao,PASTELERIA,FIDEO CHOCOLATE 1K,kg,0.00,31.6900,CONSUM,VAHINÉ fideos chocolate 71 g,0.0710,kg,2.2500,2026-06-13,https://tienda.consum.es/es/c/despensa/desayuno-dulces-cafe/reposteria-para-preparar/decoracion-postres/5254,"Equivalente retail, no formato 1 kg. Precio con IVA. €/kg indicado por tienda.",propuesto,palabras clave chocolate/cacao
ING-0585,ING-FRU-0065,ING,FRU,Frutas,Frutas,PASTELERIA,FRAMBUESA congelada,kg,0.00,9.7200,MAKRO,METRO Chef frambuesas 1 kg congelado,1.0000,kg,9.7200,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X221047/0032/0021/Metro-Chef-frambuesas-1-kg-congelado,"Precio con IVA/IGIC incluido. Producto congelado limpio, merma 0%.",propuesto,familia o palabras clave fruta
